alpha,c_l,c_d,c_m,converged
-9.0,-0.569,0.11896,0.0322,1.0
-8.5,-0.5845,0.11334,0.02963,1.0
-8.0,-0.5977,0.10693,0.02693,1.0
-7.5,-0.6055,0.0997,0.02402,1.0
-7.0,-0.6167,0.09235,0.02165,1.0
-6.5,-0.625,0.0845,0.0183,1.0
-6.0,-0.624,0.0761,0.014854,1.0
-5.5,-0.326,0.05627,-0.00505,0.0
-5.0,-0.3416,0.05008,-0.006092,0.0
-4.5,-0.347,0.0406,-0.01576,1.0
-4.0,-0.319,0.03687,-0.01793,1.0
-3.5,-0.2786,0.0359,-0.015465,1.0
-3.0,-0.2397,0.03513,-0.01307,1.0
-2.5,-0.2004,0.03452,-0.010704,1.0
-2.0,-0.161,0.03406,-0.00845,1.0
-1.5,-0.12115,0.03372,-0.006283,1.0
-1.0,-0.081,0.0335,-0.004173,1.0
-0.5,-0.04056,0.03336,-0.002077,1.0
0.0,-0.0,0.03333,0.0,1.0
0.5,0.0406,0.03336,0.002077,1.0
1.0,0.08105,0.0335,0.00417,1.0
1.5,0.12115,0.03372,0.00628,1.0
2.0,0.161,0.03406,0.00845,1.0
2.5,0.2006,0.03452,0.010704,1.0
3.0,0.2397,0.03513,0.01306,1.0
3.5,0.2786,0.0359,0.01545,1.0
4.0,0.3193,0.03687,0.01791,1.0
4.5,0.3472,0.0406,0.01572,1.0
5.0,0.5835,0.05957,-0.01312,1.0
5.5,0.612,0.06775,-0.012695,1.0
6.0,0.6245,0.0761,-0.01486,1.0
6.5,0.6255,0.0845,-0.01836,1.0
7.0,0.617,0.09235,-0.02173,1.0
7.5,0.6064,0.0997,-0.02414,1.0
8.0,0.5986,0.10693,-0.02707,1.0
8.5,0.5854,0.11334,-0.0298,1.0
9.0,0.57,0.11896,-0.03238,1.0
9.5,0.5386,0.1218,-0.03256,1.0
10.0,0.4812,0.1202,-0.02528,1.0
10.5,0.4634,0.122,-0.02054,1.0
11.0,0.48,0.1288,-0.0227,1.0
11.5,0.4968,0.1355,-0.02492,1.0
12.0,0.5137,0.1422,-0.02718,1.0
12.5,0.531,0.149,-0.0295,1.0
13.0,0.5483,0.1559,-0.03186,1.0
13.5,0.5654,0.1627,-0.03427,1.0
14.0,0.583,0.1697,-0.03677,1.0
