alpha,c_l,c_d,c_m,converged
-9.0,-0.4956,0.1432,-0.00854,1.0
-8.5,-0.4888,0.1376,-0.01087,1.0
-8.0,-0.4817,0.1321,-0.01289,1.0
-7.5,-0.4724,0.1271,-0.014465,1.0
-7.0,-0.4592,0.1229,-0.015495,1.0
-6.5,-0.4412,0.11945,-0.01599,1.0
-6.0,-0.4187,0.1166,-0.01598,1.0
-5.5,-0.3926,0.1142,-0.0155,1.0
-5.0,-0.3633,0.1122,-0.01455,1.0
-4.5,-0.2627,0.0945,-0.0167,1.0
-4.0,-0.2993,0.1094,-0.01202,1.0
-3.5,-0.2646,0.10834,-0.01061,1.0
-3.0,-0.2292,0.1075,-0.00924,1.0
-2.5,-0.1919,0.1066,-0.007645,1.0
-2.0,-0.154,0.106,-0.00606,1.0
-1.5,-0.1157,0.1055,-0.00451,1.0
-1.0,-0.0775,0.10516,-0.003052,1.0
-0.5,-0.0389,0.105,-0.001544,1.0
0.0,0.0,0.1049,-0.0,1.0
0.5,0.0389,0.105,0.001544,1.0
1.0,0.0775,0.10516,0.003052,1.0
1.5,0.1157,0.1055,0.00451,1.0
2.0,0.154,0.106,0.006058,1.0
2.5,0.1919,0.1067,0.007645,1.0
3.0,0.2292,0.1075,0.00924,1.0
3.5,0.2646,0.10834,0.010605,1.0
4.0,0.2993,0.1094,0.01201,1.0
4.5,0.3323,0.11066,0.01336,1.0
5.0,0.3633,0.11224,0.01454,1.0
5.5,0.3926,0.11426,0.015495,1.0
6.0,0.4187,0.11664,0.01598,1.0
6.5,0.4414,0.1195,0.01599,1.0
7.0,0.4592,0.1229,0.01547,1.0
7.5,0.4724,0.1272,0.01444,1.0
8.0,0.4817,0.1321,0.01286,1.0
8.5,0.489,0.1376,0.01083,1.0
9.0,0.4958,0.1433,0.00849,1.0
9.5,0.5034,0.1492,0.005955,1.0
10.0,0.512,0.1552,0.003326,1.0
10.5,0.5215,0.161,0.000656,1.0
11.0,0.532,0.1671,-0.00196,1.0
11.5,0.544,0.1731,-0.004665,1.0
12.0,0.556,0.1791,-0.007393,1.0
12.5,0.5693,0.185,-0.01015,1.0
13.0,0.5825,0.191,-0.012924,1.0
13.5,0.5967,0.1971,-0.01572,1.0
14.0,0.611,0.2034,-0.01854,1.0
