alpha,c_l,c_d,c_m,converged
-9.0,-5.79,0.02744,1.125,0.0
-8.5,-0.661,0.0894,-0.002792,1.0
-8.0,-6.082,1.738,1.033,0.0
-7.5,-0.6665,0.0708,-0.01293,1.0
-7.0,-6.793,0.0115,1.339,0.0
-6.5,-0.6665,0.1107,0.1137,0.0
-6.0,-0.59,0.04428,-0.01605,1.0
-5.5,-2.775,8.076e3,0.511,0.0
-5.0,-0.499,0.03314,-0.012764,1.0
-4.5,-1.287,54.75,0.2264,0.0
-4.0,-1.434,0.0,0.2815,0.0
-3.5,-0.354,0.01456,-0.00788,1.0
-3.0,-0.3032,0.01007,-0.004932,1.0
-2.5,-0.2527,0.008804,-0.003403,1.0
-2.0,-0.2029,0.00841,-0.002497,1.0
-1.5,-0.1621,0.005863,-0.000944,1.0
-1.0,-0.116,0.005898,0.001293,1.0
-0.5,-0.045,0.006332,-0.001759,1.0
0.0,-0.0,0.00625,0.0,1.0
0.5,0.045,0.006332,0.001757,1.0
1.0,0.11597,0.005898,-0.001289,1.0
1.5,0.1621,0.00586,0.0009484,1.0
2.0,0.2029,0.00841,0.002502,1.0
2.5,0.2527,0.008804,0.003407,1.0
3.0,0.3032,0.01006,0.004932,1.0
3.5,0.761,0.02626,-0.12,0.0
4.0,0.3933,0.29,-0.02293,0.0
4.5,1.064,Inf,-0.11884,0.0
5.0,0.499,0.03314,0.01275,1.0
5.5,0.547,0.03763,0.014595,1.0
6.0,3.414,6.88,-0.518,0.0
6.5,3.03,0.0778,-0.6074,0.0
7.0,2.152,0.0,-0.388,0.0
7.5,0.667,0.0708,0.01286,1.0
8.0,0.825,0.1138,-0.1554,0.0
8.5,7.59,9.42,-1.244,0.0
9.0,8.75,0.0925,-1.702,0.0
9.5,20.39,159.0,-3.709,0.0
10.0,28.7,0.0641,-5.34,0.0
10.5,18.0,21.67,-3.473,0.0
11.0,0.316,0.06384,0.01738,1.0
11.5,0.3235,0.069,0.0152,1.0
12.0,1.591,0.03253,-0.2769,0.0
12.5,9.664,0.43,-1.711,0.0
13.0,0.9346,0.9106,-0.1364,0.0
13.5,26.89,0.8984,-5.406,0.0
14.0,1.506,0.3174,-0.2515,0.0
