100,0.64
95,1.43
90,2.2
80,3.7
70,5.1
60,6.23
50,6.93
40,7.18
30,7.01
20,6.14
15,5.5
10,4.68
7.5,4.23
5,3.75
2.5,3.23
1.25,2.96
0,2.73
0,0
1.25,0.32
2.5,0.6
5,1.17
7.5,1.7
10,2.23
15,3.15
20,3.9
30,4.86
40,5.27
50,5.18
60,4.56
70,3.7
80,2.55
90,1.27
95,0.65
100,0
,
Camber line,
X(mm),Y(mm)
0,0
0,1.365
1.25,1.64
2.5,1.915
5,2.46
7.5,2.965
10,3.455
15,4.325
20,5.02
30,5.935
40,6.225
50,6.055
60,5.395
70,4.4
80,3.125
90,1.735
95,1.04
100,0.32
,
Chord line,
X(mm),Y(mm)
0,0
100,0
