alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.7847,0.03897,-0.04404,-20.14,1.0
-8.0,-0.7417,0.032,-0.03568,-23.17,1.0
-7.0,-0.678,0.02794,-0.02917,-24.28,1.0
-6.0,-0.607,0.0252,-0.02391,-24.1,1.0
-5.0,-0.5312,0.02344,-0.01967,-22.67,1.0
-4.0,-0.4111,0.02249,-0.02382,-18.28,1.0
-3.0,-0.2493,0.02136,-0.03442,-11.664,1.0
-2.0,-0.08795,0.0202,-0.0424,-4.35,1.0
-1.0,0.04184,0.02,-0.04102,2.092,1.0
0.0,0.3035,0.01959,-0.0641,15.49,1.0
1.0,0.4456,0.01828,-0.06995,24.38,1.0
2.0,0.5254,0.0179,-0.0642,29.36,1.0
3.0,0.6143,0.01807,-0.05893,34.0,1.0
4.0,0.705,0.01869,-0.0542,37.72,1.0
5.0,0.7983,0.01956,-0.04993,40.8,1.0
6.0,0.893,0.02055,-0.0458,43.44,1.0
7.0,0.978,0.02168,-0.04053,45.12,1.0
8.0,1.057,0.02307,-0.03436,45.78,1.0
9.0,1.116,0.02551,-0.02602,43.75,1.0
10.0,1.158,0.02911,-0.016,39.78,1.0
11.0,1.193,0.03387,-0.00607,35.22,1.0
12.0,1.234,0.03946,0.001619,31.28,1.0
13.0,1.267,0.04633,0.00856,27.34,1.0
14.0,1.258,0.05634,0.0159,22.31,1.0
15.0,1.255,0.0684,0.01955,18.33,1.0
16.0,1.125,0.09357,0.01489,12.02,1.0
