alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.9478,0.03555,-0.01776,-26.66,1.0
-8.0,-0.8965,0.0327,-0.0107,-27.4,1.0
-7.0,-0.805,0.03093,-0.01035,-26.03,1.0
-6.0,-0.643,0.02936,-0.0213,-21.9,1.0
-5.0,-0.5044,0.02812,-0.02728,-17.94,1.0
-4.0,-0.3677,0.0269,-0.03223,-13.67,1.0
-3.0,-0.2219,0.02557,-0.03763,-8.68,1.0
-2.0,-0.0799,0.02415,-0.04077,-3.309,1.0
-1.0,0.0424,0.02321,-0.03958,1.825,1.0
0.0,0.1515,0.02296,-0.03528,6.594,1.0
1.0,0.2715,0.02327,-0.03183,11.67,1.0
2.0,0.4587,0.02379,-0.0427,19.28,1.0
3.0,0.6724,0.02394,-0.06094,28.08,1.0
4.0,0.7754,0.02405,-0.06256,32.25,1.0
5.0,0.8286,0.0246,-0.054,33.7,1.0
6.0,0.893,0.02538,-0.0461,35.2,1.0
7.0,0.972,0.0262,-0.0402,37.1,1.0
8.0,1.052,0.02773,-0.0349,37.94,1.0
9.0,1.119,0.02948,-0.02814,37.97,1.0
10.0,1.193,0.0312,-0.02263,38.25,1.0
11.0,1.243,0.0342,-0.01453,36.34,1.0
12.0,1.264,0.03824,-0.003633,33.03,1.0
13.0,1.282,0.04355,0.004684,29.42,1.0
14.0,1.289,0.05072,0.011154,25.42,1.0
15.0,1.277,0.0608,0.0155,21.0,1.0
16.0,1.256,0.07336,0.01701,17.11,1.0
