alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.968,0.04105,-0.014465,-23.58,1.0
-8.0,-0.842,0.0386,-0.01982,-21.81,1.0
-7.0,-0.723,0.03662,-0.02295,-19.77,1.0
-6.0,-0.6045,0.03494,-0.0253,-17.3,1.0
-5.0,-0.4888,0.03366,-0.02675,-14.52,1.0
-4.0,-0.345,0.03177,-0.03168,-10.85,1.0
-3.0,-0.1952,0.02931,-0.03625,-6.656,1.0
-2.0,-0.0914,0.02885,-0.03403,-3.166,1.0
-1.0,0.01133,0.02855,-0.03162,0.397,1.0
0.0,0.11707,0.02849,-0.02881,4.11,1.0
1.0,0.2247,0.0285,-0.026,7.883,1.0
2.0,0.3438,0.02881,-0.02396,11.93,1.0
3.0,0.4597,0.0297,-0.02202,15.484,1.0
4.0,0.608,0.03117,-0.02744,19.5,1.0
5.0,0.795,0.03214,-0.04138,24.72,1.0
6.0,0.9985,0.03284,-0.05984,30.4,1.0
7.0,1.019,0.0345,-0.0491,29.55,1.0
8.0,0.977,0.0369,-0.02748,26.48,1.0
9.0,0.9956,0.03854,-0.01403,25.83,1.0
10.0,1.067,0.03992,-0.00881,26.75,1.0
11.0,1.084,0.04395,0.00107,24.67,1.0
12.0,0.924,0.0645,0.01446,14.33,1.0
13.0,0.7563,0.09955,0.01418,7.594,0.0
14.0,0.4932,0.1599,-0.00976,3.084,1.0
15.0,0.1862,0.1458,0.01682,1.277,0.0
16.0,0.5454,0.1858,-0.0206,2.934,1.0
