alpha,c_l,c_d,c_m,converged
0.0,0.0,0.1049,-0.0,1.0
0.5,0.0389,0.105,0.001544,1.0
1.0,0.0775,0.10516,0.003052,1.0
1.5,0.1157,0.1055,0.00451,1.0
2.0,0.154,0.106,0.006058,1.0
2.5,0.1919,0.1067,0.007645,1.0
3.0,0.2292,0.1075,0.00924,1.0
