alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.007281130885417702,0.0,-0.04477155231874672,-0.0,0.0006724390917524583,-0.0,0.004711501000030047
-14.0,-0.006361031932924699,0.0,-0.04203649608932622,-0.0,0.0006313603568962323,-0.0,0.004116119979826257
-12.9921875,-0.005499455002468772,0.0,-0.0392502086543847,-0.0,0.0005895121632313267,-0.0,0.0035586076052614908
-12.0,-0.0046974501250682775,0.0,-0.036416085750424945,-0.0,0.0005469455124731509,-0.0,0.003039643334275925
-10.9921875,-0.003955994729398893,0.0,-0.03353758141254675,-0.0,0.0005037122819434623,-0.0,0.00255985964501821
-10.0,-0.0032759924505704418,0.0,-0.03061820376490522,-0.0,0.00045986516134584787,-0.0,0.002119841265024596
-8.9921875,-0.002658272028838233,0.0,-0.027661510745249068,-0.0,0.00041545758855110465,-0.0,0.0017201244585929106
-7.99609375,-0.0021035862995911463,0.0,-0.024671105768749552,-0.0,0.0003705436844708262,-0.0,0.0013611963732203403
-6.99609375,-0.0016126112758473455,0.0,-0.021650633336404376,-0.0,0.00032517818709853515,-0.0,0.0010434944459013981
-5.99609375,-0.0011859453243758809,0.0,-0.01860377459336959,-0.0,0.0002794163847987631,-0.0,0.0007674058700096262
-4.99609375,-0.0008241084364482018,0.0,-0.015534242842631323,-0.0,0.00023331404892537664,-0.0,0.0005332671234128155
-3.994140625,-0.0005275415941083632,0.0,-0.012445779019486423,-0.0,0.0001869273658512611,-0.0,0.0003413635583967959
-2.994140625,-0.0002966062327342903,0.0,-0.009342147132346355,-0.0,0.00014031286849221892,-0.0,0.0001919290538975919
-1.994140625,-0.0001315838005450599,0.0,-0.006227129675421202,-0.0,9.352736740851584e-5,-0.0,8.5145730465775e-5
-0.99365234375,-3.267541559107137e-5,0.0,-0.0031045230188746194,-0.0,4.662788156805833e-5,-0.0,2.1143728310399586e-5
0.006839752197265625,-1.5486603106723564e-9,0.0,2.137605972662536e-5,-0.0,-3.2105427315727763e-7,-0.0,1.0021128197341941e-9
1.0078125,-3.360223629312729e-5,0.0,0.003148230804470392,-0.0,-4.7284343587496145e-5,-0.0,2.1743458865076136e-5
2.0078125,-0.00013343631240350803,0.0,0.0062707575426889685,-0.0,-9.418262910754659e-5,-0.0,8.63444606645585e-5
3.0078125,-0.00029938217803441675,0.0,0.009385641910626259,-0.0,-0.00014096613128271348,-0.0,0.00019372532281012654
4.01171875,-0.0005312375897179516,0.0,0.012489087700318416,-0.0,-0.00018757783358122333,-0.0,0.00034375517685342243
5.01171875,-0.0008287199779406622,0.0,0.015577312644358117,-0.0,-0.00023396092884923826,-0.0,0.0005362511766725803
6.01171875,-0.001191466791519941,0.0,0.018646553025463475,-0.0,-0.00028005888854352963,-0.0,0.0007709787213125705
7.01171875,-0.001619035939456599,0.0,0.02169306826343896,-0.0,-0.0003258155316245979,-0.0,0.001047651740900789
8.0078125,-0.0021109063297251266,0.0,0.02471314547393893,-0.0,-0.00037117509302628205,-0.0,0.001365933045289457
9.0078125,-0.002666478504345012,0.0,0.027703103993476735,-0.0,-0.00041608229161840354,-0.0,0.0017254347349998824
10.0078125,-0.0032850753699591117,0.0,0.030659299865165794,-0.0,-0.00046048239757962977,-0.0,0.0021257186739678433
11.015625,-0.00396594302302871,0.0,0.033578130279724824,-0.0,-0.0005043212990984337,-0.0,0.0025662970235138167
12.0078125,-0.004708251668639576,0.0,0.03645603796633529,-0.0,-0.000547545568320867,-0.0,0.0030466328368873837
13.015625,-0.005511096631799233,0.0,0.03928951552799991,-0.0,-0.000590102526464776,-0.0,0.003566140713661227
14.0078125,-0.006373499459992948,0.0,0.042075109716118,-0.0,-0.0006319403080210943,-0.0,0.0041241875131770925
