alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.0020387166479169587,0.0,-0.012536034649249083,-0.0,5.2719224793392696e-5,-0.0,0.0013192202800084132
-14.0,-0.0017810889412189156,0.0,-0.011770218905011341,-0.0,4.9498651980664606e-5,-0.0,0.001152513594351349
-12.9921875,-0.0015398474006912567,0.0,-0.010990058423227709,-0.0,4.6217753597336e-5,-0.0,0.0009964101294732206
-12.0,-0.0013152860350191177,0.0,-0.010196504010118972,-0.0,4.2880528177894876e-5,-0.0,0.0008511001335972598
-10.9921875,-0.0011076785242316893,0.0,-0.009390522795513083,-0.0,3.94910429043675e-5,-0.0,0.0007167607006050988
-10.0,-0.0009172778861597232,0.0,-0.008573097054173456,-0.0,3.605342864951452e-5,-0.0,0.0005935555542068886
-8.9921875,-0.0007443161680747057,0.0,-0.007745223008669746,-0.0,3.257187494240663e-5,-0.0,0.0004816348484060149
-7.99609375,-0.0005890041638855212,0.0,-0.006907909615249864,-0.0,2.9050624862512778e-5,-0.0,0.00038113498450169646
-6.99609375,-0.00045153115723725693,0.0,-0.0060621773341932245,-0.0,2.549396986852511e-5,-0.0,0.00029217844485239167
-5.99609375,-0.0003320646908252469,0.0,-0.005209056886143485,-0.0,2.190624456822306e-5,-0.0,0.00021487364360269504
-4.99609375,-0.00023075036220549663,0.0,-0.0043495879959367665,-0.0,1.8291821435749527e-5,-0.0,0.0001493147945555884
-3.994140625,-0.0001477116463503418,0.0,-0.0034848181254562008,-0.0,1.4655105482738884e-5,-0.0,9.558179635110274e-5
-2.994140625,-8.304974516560131e-5,0.0,-0.0026158011970569815,-0.0,1.100052888978997e-5,-0.0,5.3740135091325696e-5
-1.994140625,-3.684346415261683e-5,0.0,-0.001743596309117937,-0.0,7.332545604827637e-6,-0.0,2.3840804530416997e-5
-0.99365234375,-9.149116365499996e-6,0.0,-0.0008692664452848944,-0.0,3.655625914935778e-6,-0.0,5.92024392691187e-6
0.006839752197265625,-4.3362488698825924e-10,0.0,5.985296723455096e-6,-0.0,-2.5170655015530558e-8,-0.0,2.805915895255742e-10
1.0078125,-9.408626162075632e-6,0.0,0.0008815046252517095,-0.0,-3.707092537259696e-6,-0.0,6.088168482221313e-6
2.0078125,-3.736216747298223e-5,0.0,0.0017558121119529103,-0.0,-7.383918122031655e-6,-0.0,2.4176448986076403e-5
3.0078125,-8.382700984963662e-5,0.0,0.0026279797349753565,-0.0,-1.1051744692564744e-5,-0.0,5.424309038683551e-5
4.01171875,-0.00014874652512102628,0.0,0.0034969445560891557,-0.0,-1.47061021527679e-5,-0.0,9.625144951895847e-5
5.01171875,-0.00023204159382338578,0.0,0.004361647540420268,-0.0,-1.8342536821780274e-5,-0.0,0.00015015032946832273
6.01171875,-0.00033361070162558394,0.0,0.0052210348471297685,-0.0,-2.195661686181271e-5,-0.0,0.00021587404196751924
7.01171875,-0.00045333006304784765,0.0,0.006074059113762915,-0.0,-2.5543937679368477e-5,-0.0,0.0002933424874522215
8.0078125,-0.0005910537723230355,0.0,0.006919680732702893,-0.0,-2.9100127293260513e-5,-0.0,0.00038246125268104716
9.0078125,-0.0007466139812166033,0.0,0.007756869118173487,-0.0,-3.262085166288277e-5,-0.0,0.0004831217257999674
10.0078125,-0.000919821103588551,0.0,0.008584603962246425,-0.0,-3.610181997024301e-5,-0.0,0.0005952012287109976
11.015625,-0.0011104640464480384,0.0,0.009401876478322942,-0.0,-3.953878984931724e-5,-0.0,0.0007185631665838684
12.0078125,-0.0013183104672190808,0.0,0.010207690630573888,-0.0,-4.292757255635605e-5,-0.0,0.0008530571943284685
13.015625,-0.0015431070569037859,0.0,0.011001064347839975,-0.0,-4.6264038074838485e-5,-0.0,0.000998519399825145
14.0078125,-0.001784579848798026,0.0,0.01178103072051304,-0.0,-4.954412014885381e-5,-0.0,0.0011547725036895862
