alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.3435,0.11536,-0.0404,-2.977,1.0
-8.0,-0.4219,0.11237,-0.037,-3.756,1.0
-7.0,-0.3857,0.0966,-0.02373,-3.992,1.0
-6.0,-0.38,0.0831,-0.03885,-4.57,1.0
-5.0,-0.2688,0.06573,-0.06113,-4.09,1.0
-4.0,-0.09894,0.03378,-0.0945,-2.93,1.0
-3.0,0.0523,0.02875,-0.1026,1.819,1.0
-2.0,0.2078,0.0256,-0.11005,8.12,1.0
-1.0,0.358,0.02289,-0.1158,15.63,1.0
0.0,0.4775,0.02023,-0.11444,23.6,1.0
1.0,0.6,0.02,-0.1148,30.0,1.0
2.0,0.723,0.01982,-0.1152,36.47,1.0
3.0,0.8276,0.02075,-0.11334,39.88,1.0
4.0,0.926,0.02202,-0.11066,42.03,1.0
5.0,1.03,0.02303,-0.10876,44.75,1.0
6.0,1.133,0.02435,-0.10645,46.5,1.0
7.0,1.216,0.02591,-0.10126,46.94,1.0
8.0,1.308,0.0264,-0.09644,49.53,1.0
9.0,1.388,0.02623,-0.0893,52.9,1.0
10.0,1.425,0.02705,-0.076,52.66,1.0
11.0,1.404,0.03021,-0.05627,46.5,1.0
12.0,1.352,0.03946,-0.04022,34.22,1.0
13.0,1.321,0.05054,-0.03096,26.14,1.0
14.0,1.347,0.05865,-0.02454,22.97,0.0
15.0,1.363,0.0678,-0.0201,20.11,1.0
16.0,1.355,0.0814,-0.01707,16.64,1.0
