alpha,c_l,c_d,c_m,converged
-60.0,-216.4,0.0004683,85.25,0.0
-60.0,-214.6,5.25e-6,84.44,0.0
-59.97,-213.8,2.4e-7,84.06,0.0
-59.97,-218.1,2.67e-5,85.9,0.0
-59.97,-216.2,0.000673,85.06,0.0
-59.94,-218.5,0.000507,85.94,0.0
-59.94,-218.1,9.0e-7,85.9,0.0
-59.94,-218.0,6.0e-8,85.75,0.0
-59.9,-217.8,0.001376,85.56,0.0
-59.9,-216.5,1.11e-5,85.06,0.0
-59.9,-218.0,0.0004363,85.7,0.0
-59.88,-220.0,0.0001819,86.44,0.0
-59.88,-217.4,9.26e-5,85.4,0.0
-59.88,-219.1,0.000697,86.06,0.0
-59.88,-213.1,3.81e-5,83.5,0.0
-59.84,-218.4,0.0005817,85.7,0.0
-59.84,-216.5,0.00051,84.9,0.0
-59.84,-217.9,0.000302,85.44,0.0
-59.8,-219.0,0.0004208,85.8,0.0
-59.8,-216.0,1.97e-6,84.6,0.0
-59.8,-214.0,9.5e-7,83.75,0.0
-59.78,-217.5,1.0e-7,85.2,0.0
-59.78,-215.0,0.0001554,84.06,0.0
-59.78,-217.9,8.3e-7,85.3,0.0
-59.75,-215.6,7.82e-5,84.25,0.0
-59.75,-216.2,0.0,84.5,0.0
-59.75,-220.8,3.8e-6,86.44,0.0
-59.72,-217.4,0.000875,84.94,0.0
-59.72,-214.6,3.0e-7,83.8,0.0
-59.72,-220.1,0.0001804,86.06,0.0
-59.7,-215.9,3.2e-5,84.25,0.0
-59.7,-216.1,0.0002401,84.3,0.0
-59.7,-218.8,0.0004086,85.4,0.0
-59.66,-213.2,0.0,83.1,0.0
-59.66,-217.0,0.0001463,84.56,0.0
-59.66,-217.2,0.00011736,84.7,0.0
-59.62,-217.0,4.697e-5,84.56,0.0
-59.62,-220.0,0.000163,85.8,0.0
-59.62,-214.4,9.847e-5,83.44,0.0
-59.62,-220.5,0.00010407,85.94,0.0
-59.6,-220.1,0.000279,85.75,0.0
-59.6,-218.2,3.25e-5,84.94,0.0
-59.6,-217.9,3.6e-7,84.8,0.0
-59.56,-215.4,0.0004416,83.7,0.0
-59.56,-217.4,7.3e-6,84.56,0.0
-59.56,-219.8,0.0004945,85.5,0.0
-59.53,-219.5,0.0001061,85.3,0.0
-59.53,-222.2,0.000877,86.44,0.0
-59.53,-216.9,2.77e-5,84.25,0.0
-59.5,-218.4,0.0006638,84.75,0.0
-59.5,-219.4,0.0008473,85.2,0.0
-59.5,-219.6,0.0002431,85.3,0.0
-59.47,-218.1,5.42e-5,84.6,0.0
-59.47,-217.6,0.0001626,84.4,0.0
-59.47,-218.6,0.0001436,84.8,0.0
-59.44,-219.1,0.000255,85.0,0.0
-59.44,-219.2,6.0e-6,85.06,0.0
-59.44,-218.2,9.5e-7,84.6,0.0
-59.4,-216.8,1.365e-5,83.94,0.0
-59.4,-220.8,1.29e-5,85.56,0.0
-59.4,-221.0,0.000723,85.6,0.0
-59.38,-218.6,4.05e-6,84.6,0.0
-59.38,-217.5,5.54e-6,84.1,0.0
-59.38,-221.5,0.00045,85.8,0.0
-59.38,-218.2,2.69e-5,84.4,0.0
-59.34,-218.4,1.57e-5,84.44,0.0
-59.34,-219.5,2.4e-7,84.9,0.0
-59.34,-219.5,2.4e-7,84.9,0.0
-59.3,-218.0,0.0004075,84.2,0.0
-59.3,-219.2,0.000119,84.7,0.0
-59.3,-219.2,4.0e-6,84.7,0.0
-59.28,-219.6,0.0002247,84.8,0.0
-59.28,-215.5,6.6e-7,83.06,0.0
-59.28,-216.0,1.5e-6,83.25,0.0
-59.25,-217.5,6.0e-8,83.9,0.0
-59.25,-216.0,0.0001153,83.2,0.0
-59.25,-217.4,1.06e-5,83.75,0.0
-59.22,-216.6,0.0,83.44,0.0
-59.22,-219.1,0.0008454,84.4,0.0
-59.22,-220.0,0.0008755,84.7,0.0
-59.2,-218.9,1.913e-5,84.3,0.0
-59.2,-217.1,1.2e-6,83.5,0.0
-59.2,-217.6,0.0001136,83.6,0.0
-59.16,-216.1,6.0e-8,83.06,0.0
-59.16,-216.8,6.0e-8,83.25,0.0
-59.16,-219.0,0.0001981,84.1,0.0
-59.12,-219.5,0.0001897,84.4,0.0
-59.12,-221.2,0.0002904,85.06,0.0
-59.12,-219.4,6.05e-5,84.2,0.0
-59.12,-220.1,7.4e-6,84.56,0.0
-59.1,-221.0,0.0002366,84.9,0.0
-59.1,-218.4,7.0e-7,83.8,0.0
-59.1,-218.4,9.54e-6,83.7,0.0
-59.06,-222.1,0.0004733,85.25,0.0
-59.06,-218.9,0.00011504,83.9,0.0
-59.06,-223.1,4.78e-5,85.6,0.0
-59.03,-220.4,0.000511,84.44,0.0
-59.03,-220.2,5.13e-5,84.44,0.0
-59.03,-218.6,0.0009103,83.6,0.0
-59.0,-218.2,0.0005918,83.5,0.0
-59.0,-217.8,4.0e-7,83.3,0.0
-59.0,-220.6,0.0003254,84.44,0.0
-58.97,-219.1,0.0001221,83.8,0.0
-58.97,-221.1,2.4e-7,84.6,0.0
-58.97,-220.8,0.0002549,84.44,0.0
-58.94,-222.4,0.001015,85.06,0.0
-58.94,-223.2,0.000986,85.4,0.0
-58.94,-220.4,0.0007577,84.2,0.0
-58.9,-222.2,0.0002856,84.94,0.0
-58.9,-219.4,4.5e-6,83.75,0.0
-58.9,-215.8,9.5e-7,82.25,0.0
-58.88,-218.2,7.015e-5,83.25,0.0
-58.88,-223.8,0.0010195,85.44,0.0
-58.88,-220.9,0.000592,84.25,0.0
-58.88,-218.6,0.0,83.3,0.0
-58.84,-218.8,1.25e-6,83.3,0.0
-58.84,-223.4,0.0002062,85.2,0.0
-58.84,-220.2,0.000206,83.9,0.0
-58.8,-219.2,5.4e-7,83.5,0.0
-58.8,-219.5,3.6e-7,83.56,0.0
-58.8,-222.8,0.0002713,84.9,0.0
-58.78,-216.6,0.0,82.4,0.0
-58.78,-218.6,0.0008492,83.06,0.0
-58.78,-218.6,1.6e-6,83.1,0.0
-58.75,-216.9,0.0003712,82.3,0.0
-58.75,-220.0,0.0002388,83.56,0.0
-58.75,-217.4,8.0e-7,82.56,0.0
-58.72,-219.2,8.46e-6,83.25,0.0
-58.72,-218.1,8.33e-5,82.75,0.0
-58.72,-221.6,0.00136,84.1,0.0
-58.7,-218.4,0.000288,82.8,0.0
-58.7,-217.6,3.9e-6,82.44,0.0
-58.7,-220.9,0.000535,83.75,0.0
-58.66,-216.6,7.0e-7,82.06,0.0
-58.66,-220.0,2.015e-5,83.4,0.0
-58.66,-218.2,1.13e-6,82.7,0.0
-58.62,-218.1,0.0002279,82.56,0.0
-58.62,-221.2,0.000985,83.8,0.0
-58.62,-221.0,0.000929,83.6,0.0
-58.62,-218.6,0.0,82.7,0.0
-58.6,-218.8,1.6e-6,82.75,0.0
-58.6,-220.1,6.0e-8,83.3,0.0
-58.6,-219.8,2.11e-5,83.06,0.0
-58.56,-222.5,0.0002149,84.1,0.0
-58.56,-220.1,0.000686,83.1,0.0
-58.56,-220.2,5.64e-5,83.2,0.0
-58.53,-220.8,5.4e-7,83.4,0.0
-58.53,-217.9,9.5e-6,82.2,0.0
-58.53,-220.9,0.00042,83.4,0.0
-58.5,-219.9,0.000552,82.94,0.0
-58.5,-222.0,0.0003,83.8,0.0
-58.5,-220.4,0.000999,83.1,0.0
-58.47,-217.0,2.2e-6,81.7,0.0
-58.47,-216.8,0.0008907,81.6,0.0
-58.47,-221.1,0.0007677,83.3,0.0
-58.44,-217.5,0.0001686,81.9,0.0
-58.44,-218.8,0.000779,82.3,0.0
-58.44,-219.6,6.0e-8,82.7,0.0
-58.4,-217.6,3.7e-6,81.9,0.0
-58.4,-218.2,0.0001267,82.06,0.0
-58.4,-219.1,8.94e-6,82.4,0.0
-58.38,-221.8,0.001232,83.44,0.0
-58.38,-220.4,0.001512,82.9,0.0
-58.38,-223.6,0.0005918,84.2,0.0
-58.38,-221.8,0.0002604,83.4,0.0
-58.34,-222.5,0.000795,83.7,0.0
-58.34,-220.6,5.4e-7,82.9,0.0
-58.34,-221.6,0.0004025,83.25,0.0
-58.3,-221.0,0.0004544,83.0,0.0
-58.3,-221.0,0.0004404,82.94,0.0
-58.3,-222.8,0.000464,83.6,0.0
-58.28,-219.0,0.0001574,82.1,0.0
-58.28,-220.4,5.19e-5,82.6,0.0
-58.28,-220.0,1.1e-5,82.44,0.0
-58.25,-223.0,0.0002668,83.6,0.0
-58.25,-222.6,0.0002682,83.44,0.0
-58.25,-222.1,0.0002565,83.25,0.0
-58.22,-219.5,1.13e-6,82.2,0.0
-58.22,-218.1,5.6e-6,81.6,0.0
-58.22,-223.0,2.4e-7,83.56,0.0
-58.2,-223.2,0.0005527,83.56,0.0
-58.2,-220.5,0.0002071,82.44,0.0
-58.2,-219.4,6.0e-8,82.0,0.0
-58.16,-220.5,8.03e-5,82.44,0.0
-58.16,-218.8,2.927e-5,81.7,0.0
-58.16,-221.0,0.000513,82.56,0.0
-58.12,-219.0,0.0002108,81.75,0.0
-58.12,-224.4,2.927e-5,83.9,0.0
-58.12,-222.4,0.000522,83.06,0.0
-58.12,-220.8,3.42e-5,82.4,0.0
-58.1,-221.5,0.000222,82.7,0.0
-58.1,-219.0,0.0002801,81.6,0.0
-58.1,-221.4,0.00010675,82.56,0.0
-58.06,-221.6,0.000501,82.6,0.0
-58.06,-220.0,0.0,82.0,0.0
-58.06,-220.2,0.000111,82.06,0.0
-58.03,-222.4,0.000822,82.9,0.0
-58.03,-219.8,0.0003226,81.8,0.0
-58.03,-220.1,0.0001169,81.94,0.0
-58.0,-219.1,4.077e-5,81.5,0.0
-58.0,-218.2,2.0e-7,81.1,0.0
-58.0,-224.6,0.0003667,83.6,0.0
-57.97,-221.9,0.0003502,82.5,0.0
-57.97,-223.4,0.000426,83.1,0.0
-57.97,-226.0,0.0002894,84.1,0.0
-57.94,-221.0,0.0002556,82.1,0.0
-57.94,-223.1,9.64e-5,82.94,0.0
-57.94,-224.2,1.89e-5,83.4,0.0
-57.9,-222.8,0.000421,82.75,0.0
-57.9,-219.6,6.0e-8,81.5,0.0
-57.9,-220.5,7.963e-5,81.8,0.0
-57.88,-223.1,7.373e-5,82.9,0.0
-57.88,-219.4,1.526e-5,81.3,0.0
-57.88,-221.5,6.0e-8,82.1,0.0
-57.88,-222.2,0.0001576,82.4,0.0
-57.84,-215.1,0.0,79.56,0.0
-57.84,-223.0,0.0006967,82.6,0.0
-57.84,-220.8,0.0002704,81.75,0.0
-57.8,-223.0,0.0001576,82.6,0.0
-57.8,-222.9,0.000558,82.5,0.0
-57.8,-222.1,0.0003502,82.25,0.0
-57.78,-222.8,0.0002193,82.44,0.0
-57.78,-225.5,0.0009723,83.5,0.0
-57.78,-221.0,2.0e-7,81.7,0.0
-57.75,-219.5,0.0001384,81.1,0.0
-57.75,-220.8,1.55e-6,81.56,0.0
-57.75,-219.2,2.19e-5,80.94,0.0
-57.72,-218.8,6.276e-5,80.75,0.0
-57.72,-222.4,2.974e-5,82.1,0.0
-57.72,-222.6,0.0005627,82.2,0.0
-57.7,-220.1,5.0e-7,81.25,0.0
-57.7,-222.1,0.0001594,81.94,0.0
-57.7,-221.5,9.555e-5,81.7,0.0
-57.66,-221.9,0.0001129,81.8,0.0
-57.66,-220.1,3.85e-5,81.1,0.0
-57.66,-222.1,9.155e-5,81.9,0.0
-57.62,-221.1,0.0005217,81.5,0.0
-57.62,-223.0,0.0004418,82.2,0.0
-57.62,-222.9,0.000907,82.06,0.0
-57.62,-219.4,2.0e-7,80.7,0.0
-57.6,-221.2,6.0e-6,81.44,0.0
-57.6,-218.1,3.0e-7,80.2,0.0
-57.6,-221.5,1.28e-5,81.5,0.0
-57.56,-219.5,6.0e-8,80.7,0.0
-57.56,-222.4,0.0007877,81.75,0.0
-57.56,-218.9,3.0e-7,80.4,0.0
-57.53,-223.5,0.0001625,82.2,0.0
-57.53,-222.9,0.0002282,81.94,0.0
-57.53,-220.6,0.000631,80.94,0.0
-57.5,-221.0,6.0e-8,81.1,0.0
-57.5,-222.1,5.245e-5,81.56,0.0
-57.5,-226.8,8.47e-5,83.4,0.0
-57.47,-224.1,9.0e-7,82.3,0.0
-57.47,-221.6,0.0003047,81.25,0.0
-57.47,-220.6,3.2e-6,80.9,0.0
-57.44,-222.8,7.0e-7,81.7,0.0
-57.44,-222.6,4.88e-5,81.6,0.0
-57.44,-221.4,0.0003254,81.06,0.0
-57.4,-224.1,0.0005884,82.1,0.0
-57.4,-220.1,1.47e-5,80.56,0.0
-57.4,-222.1,0.0003057,81.3,0.0
-57.38,-222.5,4.28e-5,81.44,0.0
-57.38,-221.2,1.0e-7,80.94,0.0
-57.38,-223.4,0.001022,81.75,0.0
-57.38,-223.5,0.001507,81.75,0.0
-57.34,-220.1,0.0002515,80.44,0.0
-57.34,-222.4,0.0009103,81.25,0.0
-57.34,-223.0,0.0003994,81.5,0.0
-57.3,-223.8,0.000668,81.8,0.0
-57.3,-221.6,6.83e-5,80.94,0.0
-57.3,-222.2,0.0001762,81.2,0.0
-57.28,-222.6,0.001394,81.25,0.0
-57.28,-220.9,1.0e-6,80.56,0.0
-57.28,-219.5,6.0e-8,80.06,0.0
-57.25,-223.2,0.0005307,81.44,0.0
-57.25,-220.5,6.0e-8,80.4,0.0
-57.25,-224.6,0.0001839,81.94,0.0
-57.22,-222.2,0.0001987,81.0,0.0
-57.22,-224.8,5.0e-7,81.94,0.0
-57.22,-224.2,3.01e-5,81.75,0.0
-57.2,-224.1,0.0012455,81.6,0.0
-57.2,-221.2,3.42e-5,80.5,0.0
-57.2,-221.2,7.254e-5,80.5,0.0
-57.16,-220.2,4.97e-5,80.06,0.0
-57.16,-222.2,1.3e-5,80.8,0.0
-57.16,-223.8,0.0003517,81.44,0.0
-57.12,-225.0,8.84e-5,81.9,0.0
-57.12,-222.8,0.001737,80.94,0.0
-57.12,-224.5,0.0001167,81.7,0.0
-57.12,-223.5,6.0e-8,81.25,0.0
-57.1,-223.1,0.0015,81.0,0.0
-57.1,-222.2,0.00075,80.7,0.0
-57.1,-221.9,1.25e-6,80.5,0.0
-57.06,-222.5,2.31e-5,80.75,0.0
-57.06,-222.0,0.0003114,80.5,0.0
-57.06,-223.8,3.83e-5,81.2,0.0
-57.03,-222.5,0.0001388,80.7,0.0
-57.03,-221.2,2.795e-5,80.1,0.0
-57.03,-224.0,2.15e-6,81.25,0.0
-57.0,-222.9,0.0001283,80.75,0.0
-57.0,-219.1,6.0e-8,79.25,0.0
-57.0,-224.8,0.001304,81.44,0.0
-56.97,-222.9,0.000142,80.75,0.0
-56.97,-223.1,0.001186,80.75,0.0
-56.97,-222.9,8.0e-7,80.6,0.0
-56.94,-222.0,0.000907,80.25,0.0
-56.94,-219.6,2.24e-5,79.4,0.0
-56.94,-223.1,0.0002314,80.7,0.0
-56.9,-221.1,1.0e-7,79.94,0.0
-56.9,-222.5,0.00084,80.44,0.0
-56.9,-223.0,0.0003612,80.56,0.0
-56.88,-222.6,0.00124,80.4,0.0
-56.88,-221.8,5.8e-5,80.06,0.0
-56.88,-221.8,4.405e-5,80.06,0.0
-56.88,-220.4,8.0e-7,79.5,0.0
-56.84,-220.8,6.56e-6,79.6,0.0
-56.84,-226.2,0.000682,81.7,0.0
-56.84,-222.2,4.53e-6,80.2,0.0
-56.8,-221.0,7.17e-5,79.6,0.0
-56.8,-223.1,0.001048,80.4,0.0
-56.8,-223.5,0.000652,80.56,0.0
-56.78,-224.0,0.0001553,80.7,0.0
-56.78,-220.9,2.3e-6,79.5,0.0
-56.78,-219.0,5.66e-6,78.75,0.0
-56.75,-221.9,1.585e-5,79.8,0.0
-56.75,-223.8,2.426e-5,80.5,0.0
-56.75,-222.9,1.0e-7,80.2,0.0
-56.72,-222.4,2.15e-6,80.0,0.0
-56.72,-222.0,0.000811,79.75,0.0
-56.72,-221.1,6.0e-8,79.5,0.0
-56.7,-223.1,0.001281,80.1,0.0
-56.7,-220.5,6.0e-8,79.2,0.0
-56.7,-223.0,0.000716,80.06,0.0
-56.66,-222.2,6.97e-5,79.8,0.0
-56.66,-222.5,0.0005164,79.8,0.0
-56.66,-221.4,2.74e-6,79.44,0.0
-56.62,-221.2,0.0007606,79.3,0.0
-56.62,-221.1,1.055e-5,79.3,0.0
-56.62,-222.2,0.0002108,79.7,0.0
-56.62,-224.0,0.001236,80.3,0.0
-56.6,-222.8,6.8e-6,79.8,0.0
-56.6,-222.9,0.000544,79.9,0.0
-56.6,-223.2,0.001837,80.0,0.0
-56.56,-224.9,0.001109,80.56,0.0
-56.56,-222.5,3.0e-6,79.6,0.0
-56.56,-222.6,0.0004466,79.6,0.0
-56.53,-220.8,1.12e-5,78.94,0.0
-56.53,-222.6,0.0007477,79.6,0.0
-56.53,-221.0,3.76e-6,79.0,0.0
-56.5,-224.4,0.000878,80.25,0.0
-56.5,-226.4,0.0004427,81.0,0.0
-56.5,-223.9,0.00011337,80.06,0.0
-56.47,-224.0,1.09e-5,80.06,0.0
-56.47,-222.9,9.084e-5,79.6,0.0
-56.47,-223.0,6.086e-5,79.75,0.0
-56.44,-223.1,0.0002259,79.75,0.0
-56.44,-220.4,1.1e-6,78.56,0.0
-56.44,-221.2,0.0009623,78.9,0.0
-56.4,-222.8,0.0008354,79.44,0.0
-56.4,-225.2,0.0003679,80.4,0.0
-56.4,-221.8,2.015e-5,79.06,0.0
-56.38,-222.6,0.001817,79.3,0.0
-56.38,-222.6,0.001482,79.25,0.0
-56.38,-224.1,0.000844,79.9,0.0
-56.38,-222.4,0.0015955,79.1,0.0
-56.34,-224.6,0.0008626,80.0,0.0
-56.34,-222.5,1.43e-6,79.2,0.0
-56.34,-224.9,0.00148,80.06,0.0
-56.3,-222.1,5.275e-5,79.0,0.0
-56.3,-223.2,0.0009985,79.44,0.0
-56.3,-223.5,0.0003364,79.44,0.0
-56.28,-220.4,6.0e-8,78.25,0.0
-56.28,-221.6,0.0001401,78.7,0.0
-56.28,-223.9,0.0001862,79.56,0.0
-56.25,-223.2,9.1e-6,79.3,0.0
-56.25,-221.5,0.0002985,78.6,0.0
-56.25,-222.0,0.0001125,78.8,0.0
-56.22,-225.1,0.00010747,79.94,0.0
-56.22,-224.9,0.001254,79.9,0.0
-56.22,-221.9,5.186e-5,78.7,0.0
-56.2,-223.9,0.0002668,79.44,0.0
-56.2,-222.5,6.0e-8,78.9,0.0
-56.2,-224.4,8.9e-6,79.56,0.0
-56.16,-222.5,5.0e-7,78.9,0.0
-56.16,-223.2,0.002048,79.06,0.0
-56.16,-222.5,6.0e-8,78.8,0.0
-56.12,-223.9,6.0e-6,79.3,0.0
-56.12,-224.6,0.001175,79.56,0.0
-56.12,-223.5,4.23e-6,79.1,0.0
-56.12,-223.2,3.64e-6,79.0,0.0
-56.1,-222.4,1.884e-5,78.6,0.0
-56.1,-222.2,0.0001742,78.56,0.0
-56.1,-225.1,0.0002275,79.7,0.0
-56.06,-223.2,0.000763,78.94,0.0
-56.06,-222.6,0.000273,78.7,0.0
-56.06,-222.4,5.627e-5,78.56,0.0
-56.03,-222.5,1.7e-6,78.56,0.0
-56.03,-224.9,0.00010306,79.5,0.0
-56.03,-224.9,0.0009065,79.44,0.0
-56.0,-225.9,0.0001962,79.8,0.0
-56.0,-222.8,0.0003958,78.56,0.0
-56.0,-223.6,0.0003006,78.94,0.0
-55.97,-222.8,0.0001855,78.56,0.0
-55.97,-221.9,1.0e-7,78.2,0.0
-55.97,-223.1,6.14e-6,78.6,0.0
-55.94,-224.9,0.0002701,79.3,0.0
-55.94,-223.1,0.0004964,78.56,0.0
-55.94,-224.6,0.00148,79.1,0.0
-55.9,-223.8,4.0e-7,78.8,0.0
-55.9,-225.9,4.107e-5,79.6,0.0
-55.9,-220.9,3.546e-5,77.7,0.0
-55.88,-225.8,0.001716,79.5,0.0
-55.88,-219.1,1.4e-6,77.0,0.0
-55.88,-225.6,0.001694,79.4,0.0
-55.88,-221.6,7.2e-5,77.9,0.0
-55.84,-224.6,0.001253,79.0,0.0
-55.84,-223.8,0.000632,78.6,0.0
-55.84,-220.6,0.0002038,77.44,0.0
-55.8,-225.9,0.0003686,79.4,0.0
-55.8,-221.9,0.0009212,77.9,0.0
-55.8,-225.4,0.000487,79.2,0.0
-55.78,-224.2,2.44e-5,78.75,0.0
-55.78,-223.6,0.000582,78.44,0.0
-55.78,-221.2,5.6e-5,77.56,0.0
-55.75,-221.9,1.16e-5,77.8,0.0
-55.75,-222.0,4.6e-6,77.8,0.0
-55.75,-220.8,0.0006104,77.3,0.0
-55.72,-224.6,0.0004056,78.75,0.0
-55.72,-220.6,0.000582,77.2,0.0
-55.72,-223.2,0.0008507,78.2,0.0
-55.7,-221.4,2.5e-6,77.5,0.0
-55.7,-225.4,0.0002449,78.94,0.0
-55.7,-223.8,0.0001991,78.3,0.0
-55.66,-222.4,0.0005665,77.75,0.0
-55.66,-221.4,0.000504,77.4,0.0
-55.66,-224.4,4.64e-5,78.5,0.0
-55.62,-222.8,3.86e-5,77.9,0.0
-55.62,-222.0,0.0007496,77.56,0.0
-55.62,-223.1,0.0011425,77.94,0.0
-55.62,-222.2,3.79e-5,77.6,0.0
-55.6,-223.6,0.0005403,78.1,0.0
-55.6,-222.5,2.86e-6,77.7,0.0
-55.6,-224.9,0.0002136,78.56,0.0
-55.56,-223.5,0.000981,78.0,0.0
-55.56,-222.6,2.15e-5,77.6,0.0
-55.56,-222.8,1.794e-5,77.7,0.0
-55.53,-224.6,0.000927,78.4,0.0
-55.53,-221.9,0.0004756,77.3,0.0
-55.53,-222.0,3.34e-5,77.4,0.0
-55.5,-223.0,3.284e-5,77.75,0.0
-55.5,-220.9,4.0e-7,76.94,0.0
-55.5,-222.5,0.0001489,77.5,0.0
-55.47,-220.4,0.0009537,76.7,0.0
-55.47,-223.2,0.0004466,77.75,0.0
-55.47,-224.0,0.0006146,78.0,0.0
-55.44,-225.6,7.18e-5,78.56,0.0
-55.44,-224.1,0.0001,78.0,0.0
-55.44,-224.2,0.0003762,78.0,0.0
-55.4,-225.1,3.16e-5,78.3,0.0
-55.4,-222.1,1.0e-7,77.25,0.0
-55.4,-223.2,0.0002217,77.56,0.0
-55.38,-224.5,0.0004582,78.06,0.0
-55.38,-223.5,0.000421,77.6,0.0
-55.38,-223.5,0.0002187,77.6,0.0
-55.38,-224.4,0.0004501,77.94,0.0
-55.34,-224.2,0.0003853,77.9,0.0
-55.34,-224.9,0.000356,78.06,0.0
-55.34,-224.4,5.186e-5,77.9,0.0
-55.3,-225.9,0.000758,78.4,0.0
-55.3,-223.9,0.0,77.6,0.0
-55.3,-222.6,1.21e-5,77.2,0.0
-55.28,-224.8,3.886e-5,77.94,0.0
-55.28,-222.1,0.0001855,76.94,0.0
-55.28,-222.5,0.0001069,77.06,0.0
-55.25,-226.5,0.001021,78.5,0.0
-55.25,-223.1,0.0006657,77.25,0.0
-55.25,-225.4,7.4e-6,78.06,0.0
-55.22,-225.4,0.000477,78.06,0.0
-55.22,-224.4,7.59e-5,77.7,0.0
-55.22,-222.4,0.001645,76.9,0.0
-55.2,-227.9,0.00143,78.9,0.0
-55.2,-222.6,0.001418,76.94,0.0
-55.2,-224.0,0.0007606,77.44,0.0
-55.16,-225.2,0.0005755,77.9,0.0
-55.16,-219.6,3.46e-6,75.75,0.0
-55.16,-222.2,5.96e-6,76.75,0.0
-55.12,-227.9,0.001337,78.8,0.0
-55.12,-222.9,0.0003324,76.94,0.0
-55.12,-224.5,0.0002052,77.5,0.0
-55.12,-223.0,1.67e-6,76.94,0.0
-55.1,-224.4,0.000769,77.44,0.0
-55.1,-222.1,6.0e-8,76.6,0.0
-55.1,-224.5,0.001114,77.44,0.0
-55.06,-224.1,0.001014,77.25,0.0
-55.06,-223.4,0.0004742,77.0,0.0
-55.06,-219.2,1.3e-6,75.44,0.0
-55.03,-225.0,0.0008597,77.56,0.0
-55.03,-224.9,0.00071,77.44,0.0
-55.03,-220.8,0.0001466,75.94,0.0
-55.0,-223.4,0.001053,76.9,0.0
-55.0,-225.8,0.001294,77.75,0.0
-55.0,-222.0,0.001227,76.4,0.0
-54.97,-223.0,0.0001885,76.7,0.0
-54.97,-221.1,8.8e-6,76.0,0.0
-54.97,-222.4,2.0e-7,76.44,0.0
-54.94,-222.8,0.000827,76.5,0.0
-54.94,-222.1,0.000819,76.3,0.0
-54.94,-222.8,0.001334,76.5,0.0
-54.9,-222.9,0.0007796,76.5,0.0
-54.9,-224.0,0.0006175,76.94,0.0
-54.9,-225.4,0.0009565,77.44,0.0
-54.88,-227.5,0.002232,78.2,0.0
-54.88,-224.9,0.0006886,77.2,0.0
-54.88,-220.8,0.0005074,75.7,0.0
-54.88,-223.1,0.002052,76.5,0.0
-54.84,-222.1,0.0007987,76.1,0.0
-54.84,-224.0,0.0001476,76.75,0.0
-54.84,-225.4,0.001238,77.25,0.0
-54.8,-223.2,0.0005717,76.44,0.0
-54.8,-221.0,1.97e-6,75.6,0.0
-54.8,-223.1,3.09e-5,76.4,0.0
-54.78,-219.9,2.4e-7,75.2,0.0
-54.78,-228.1,0.001881,78.2,0.0
-54.78,-224.8,0.0006013,76.94,0.0
-54.75,-224.4,0.001188,76.75,0.0
-54.75,-224.0,0.0007763,76.6,0.0
-54.75,-227.1,0.0001733,77.8,0.0
-54.72,-229.0,0.001226,78.44,0.0
-54.72,-226.6,1.88e-5,77.56,0.0
-54.72,-223.6,9.0e-7,76.44,0.0
-54.7,-223.5,0.0002878,76.3,0.0
-54.7,-225.5,0.001709,77.06,0.0
-54.7,-222.2,5.9e-5,75.9,0.0
-54.66,-224.0,1.687e-5,76.5,0.0
-54.66,-224.0,0.00206,76.44,0.0
-54.66,-227.5,0.0008335,77.75,0.0
-54.62,-223.6,6.44e-6,76.3,0.0
-54.62,-227.0,0.0001975,77.5,0.0
-54.62,-219.8,0.0003335,74.8,0.0
-54.62,-223.5,8.77e-5,76.2,0.0
-54.6,-224.4,0.0001203,76.5,0.0
-54.6,-221.2,2.28e-5,75.3,0.0
-54.6,-224.5,0.001781,76.44,0.0
-54.56,-224.9,0.001278,76.6,0.0
-54.56,-222.9,7.373e-5,75.8,0.0
-54.56,-225.4,0.0007987,76.75,0.0
-54.53,-226.4,0.001428,77.06,0.0
-54.53,-220.2,1.25e-6,74.9,0.0
-54.53,-224.9,0.001684,76.5,0.0
-54.5,-224.2,0.0006495,76.3,0.0
-54.5,-223.9,3.743e-5,76.1,0.0
-54.5,-221.5,3.8e-6,75.2,0.0
-54.47,-224.1,0.00055,76.2,0.0
-54.47,-221.5,1.0e-7,75.2,0.0
-54.47,-225.6,4.61e-5,76.7,0.0
-54.44,-221.5,0.001266,75.1,0.0
-54.44,-221.8,0.000152,75.25,0.0
-54.44,-223.6,0.001156,75.9,0.0
-54.4,-222.9,3.56e-5,75.56,0.0
-54.4,-224.8,6.87e-5,76.25,0.0
-54.4,-225.8,0.0002041,76.6,0.0
-54.38,-222.5,0.000597,75.4,0.0
-54.38,-221.5,1.0e-7,75.06,0.0
-54.38,-223.4,0.0001446,75.7,0.0
-54.38,-224.8,7.16e-5,76.2,0.0
-54.34,-224.8,0.001118,76.1,0.0
-54.34,-224.9,0.000982,76.1,0.0
-54.34,-225.8,0.003157,76.44,0.0
-54.3,-225.0,7.0e-7,76.2,0.0
-54.3,-225.8,0.001197,76.44,0.0
-54.3,-223.9,0.001105,75.75,0.0
-54.28,-221.8,2.1e-6,74.94,0.0
-54.28,-222.8,0.0009456,75.3,0.0
-54.28,-221.0,3.0e-7,74.7,0.0
-54.25,-223.5,0.0001217,75.5,0.0
-54.25,-222.4,0.001366,75.1,0.0
-54.25,-219.1,6.086e-5,73.94,0.0
-54.22,-227.1,0.000492,76.8,0.0
