alpha,c_l,c_d,c_m,converged
-58.62,-29.64,0.0,13.71,0.0
-58.62,-33.22,0.03412,11.75,0.0
-58.62,-47.7,0.000216,20.06,0.0
-58.6,-47.34,0.1032,20.88,0.0
-58.6,-37.66,0.0654,13.03,0.0
-58.6,-34.88,0.0,14.33,0.0
-58.56,-46.38,0.0,18.55,0.0
-58.56,-25.67,0.002827,9.15,0.0
-58.56,-54.8,0.04138,22.31,0.0
-58.53,-25.4,0.0,11.336,0.0
-58.53,-44.75,0.003048,18.38,0.0
-58.53,-51.97,0.04987,19.97,0.0
-58.5,-37.34,0.00508,16.45,0.0
-58.5,-40.62,0.04318,15.836,0.0
-58.5,-37.4,0.03397,15.45,0.0
-58.47,-8.28,0.0,3.877,0.0
-58.47,-39.38,0.02434,15.37,0.0
-58.47,-0.4995,0.4585,0.1781,1.0
-58.44,-36.62,0.0199,16.11,0.0
-58.44,-18.22,0.0,8.48,0.0
-58.44,-20.48,0.0,9.12,0.0
-58.4,-55.9,0.0105,21.53,0.0
-58.4,-45.94,0.056,18.16,0.0
-58.4,-40.4,0.0251,15.75,0.0
-58.38,-34.3,0.001173,13.555,0.0
-58.38,-3.213,0.0578,1.309,0.0
-58.38,-57.88,0.0587,22.69,0.0
-58.38,-30.27,0.0751,10.664,0.0
-58.34,-48.62,0.01833,19.88,0.0
-58.34,-20.75,0.03802,6.465,0.0
-58.34,-28.56,3.3e-5,12.61,0.0
-58.3,-39.94,0.006332,17.77,0.0
-58.3,-0.5005,0.4578,0.1772,1.0
-58.3,-32.38,0.04898,13.86,0.0
-58.28,-43.8,0.02522,17.52,0.0
-58.28,-0.5005,0.4575,0.1771,1.0
-58.28,-38.38,0.01709,16.66,0.0
-58.25,-44.16,0.02289,17.61,0.0
-58.25,-57.03,0.0386,21.94,0.0
-58.25,-45.5,0.046,15.62,0.0
-58.22,-36.0,1.0e-7,14.32,0.0
-58.22,-40.72,0.0254,16.1,0.0
-58.22,-104.75,0.002172,48.38,0.0
-58.2,-0.5015,0.457,0.1766,1.0
-58.2,-36.4,0.02554,12.32,0.0
-58.2,-40.0,0.001519,16.19,0.0
-58.16,-0.5015,0.457,0.1765,1.0
-58.16,-24.16,0.3813,10.34,0.0
-58.16,-46.84,0.001448,18.16,0.0
-58.12,-13.78,1.267,6.062,0.0
-58.12,-0.5015,0.4568,0.1763,1.0
-58.12,-48.66,0.001255,19.27,0.0
-58.12,-46.47,0.03882,19.02,0.0
-58.1,-48.12,0.02667,19.52,0.0
-58.1,-56.78,0.1237,22.94,0.0
-58.1,-67.1,0.0191,28.52,0.0
-58.06,-18.92,0.0,8.805,0.0
-58.06,-48.03,0.0658,19.48,0.0
-58.06,-24.0,0.02097,7.887,0.0
-58.03,-41.47,0.04007,15.99,0.0
-58.03,-58.7,0.04678,22.61,0.0
-58.03,-45.12,0.011955,15.4,0.0
-58.0,-46.9,0.0001704,19.61,0.0
-58.0,-42.9,0.03625,14.414,0.0
-58.0,-24.06,0.01199,7.56,0.0
-57.97,-0.5024,0.456,0.1754,1.0
-57.97,-36.03,0.0002577,13.24,0.0
-57.97,-33.78,0.00405,12.05,0.0
-57.94,-40.66,0.0641,15.234,0.0
-57.94,-63.75,0.0511,26.7,0.0
-57.94,-47.6,0.05765,18.1,0.0
-57.9,-12.586,1.1e-6,5.75,0.0
-57.9,-58.12,0.0869,24.45,0.0
-57.9,-10.1,0.0975,4.65,0.0
-57.88,-32.84,0.0,14.66,0.0
-57.88,-61.6,0.0272,22.83,0.0
-57.88,-8.12,0.0,3.748,0.0
-57.88,-37.62,0.03375,14.95,0.0
-57.84,-42.5,0.0404,16.38,0.0
-57.84,-20.14,0.0,9.29,0.0
-57.84,-50.53,0.1082,19.19,0.0
-57.8,-7.992,0.0,3.67,0.0
-57.8,-89.8,0.0354,39.88,0.0
-57.8,-43.03,0.05472,18.36,0.0
-57.78,-34.9,0.0001416,13.06,0.0
-57.78,-23.39,0.0,10.1,0.0
-57.78,-24.84,0.17,8.18,0.0
-57.75,-30.27,0.0,13.58,0.0
-57.75,NaN,NaN,NaN,0.0
-57.75,-51.7,0.03403,19.67,0.0
-57.72,-33.3,0.05878,10.91,0.0
-57.72,-34.88,0.0,12.35,0.0
-57.72,-26.45,0.0,11.34,0.0
-57.7,-26.17,0.0,11.336,0.0
-57.7,-46.75,0.010086,20.39,0.0
-57.7,-0.7407,0.4983,0.295,0.0
-57.66,-36.88,0.0,15.25,0.0
-57.66,-26.4,0.0,8.93,0.0
-57.66,-48.6,0.045,18.81,0.0
-57.62,-52.53,0.002205,20.58,0.0
-57.62,-0.505,0.454,0.1733,1.0
-57.62,-55.56,0.05652,22.22,0.0
-57.62,-43.28,0.00362,16.75,0.0
-57.6,-47.72,0.03525,18.97,0.0
-57.6,-32.94,0.0,12.14,0.0
-57.6,-45.7,0.02094,16.84,0.0
-57.56,-28.23,0.12036,12.336,0.0
-57.56,-29.05,0.0,12.77,0.0
-57.56,-50.4,0.0427,19.8,0.0
-57.53,-13.52,0.0,5.934,0.0
-57.53,-55.8,0.01066,19.92,0.0
-57.53,-60.3,0.08356,24.53,0.0
-57.5,-33.84,0.04007,14.24,0.0
-57.5,-49.03,0.1022,19.33,0.0
-57.5,-34.25,0.02977,11.71,0.0
-57.47,-42.47,0.02216,14.19,0.0
-57.47,-0.506,0.4534,0.1725,1.0
-57.47,-46.34,0.0338,16.72,0.0
-57.44,-41.5,0.005177,16.2,0.0
-57.44,-19.44,9.766,8.66,0.0
-57.44,-34.56,0.0183,13.21,0.0
-57.4,-18.39,0.2805,8.055,0.0
-57.4,-17.84,0.4604,7.934,0.0
