alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.025483958098961996,0.0,-0.1567004331156137,-0.0,0.008237378873967626,-0.0,0.016490253500105165
-14.0,-0.022263611765236443,0.0,-0.14712773631264178,-0.0,0.007734164371978848,-0.0,0.014406419929391899
-12.9921875,-0.0192480925086407,0.0,-0.13737573029034642,-0.0,0.007221523999583749,-0.0,0.012455126618415217
-12.0,-0.016441075437738963,0.0,-0.12745630012648726,-0.0,0.006700082527796088,-0.0,0.010638751669965738
-10.9921875,-0.013845981552896116,0.0,-0.1173815349439135,-0.0,0.006170475453807407,-0.0,0.008959508757563735
-10.0,-0.01146597357699654,0.0,-0.1071637131771682,-0.0,0.0056333482264866435,-0.0,0.007419444427586085
-8.9921875,-0.009303952100933825,0.0,-0.09681528760837178,-0.0,0.005089355459751039,-0.0,0.006020435605075187
-7.99609375,-0.00736255204856901,0.0,-0.08634887019062337,-0.0,0.004539160134767618,-0.0,0.004764187306271191
-6.99609375,-0.005644139465465709,0.0,-0.07577721667741531,-0.0,0.003983432791957052,-0.0,0.0036522305606548934
-5.99609375,-0.004150808635315586,0.0,-0.06511321107679352,-0.0,0.003422850713784847,-0.0,0.0026859205450336914
-4.99609375,-0.002884379527568708,0.0,-0.054369849949209625,-0.0,0.002858097099335866,-0.0,0.0018664349319448541
-3.994140625,-0.0018463955793792716,0.0,-0.04356022656820251,-0.0,0.0022898602316779515,-0.0,0.0011947724543887857
-2.994140625,-0.0010381218145700157,0.0,-0.032697514963212236,-0.0,0.001718832639029683,-0.0,0.0006717516886415717
-1.994140625,-0.0004605433019077098,0.0,-0.021794953863974217,-0.0,0.0011457102507543195,-0.0,0.0002980100566302125
-0.99365234375,-0.00011436395456874995,0.0,-0.010865830566061174,-0.0,0.0005711915492087144,-0.0,7.400304908639855e-5
0.006839752197265625,-5.420311087353245e-9,0.0,7.481620904318867e-5,-0.0,-3.932914846176653e-6,-0.0,3.5073948690696793e-9
1.0078125,-0.00011760782702594527,0.0,0.011018807815646365,-0.0,-0.0005792332089468276,-0.0,7.610210602776648e-5
2.0078125,-0.0004670270934122783,0.0,0.02194765139941139,-0.0,-0.0011537372065674463,-0.0,0.00030220561232595475
3.0078125,-0.0010478376231204587,0.0,0.03284974668719191,-0.0,-0.0017268351082132404,-0.0,0.0006780386298354429
4.01171875,-0.0018593315640128313,0.0,0.04371180695111445,-0.0,-0.002297828461369987,-0.0,0.0012031431189869785
5.01171875,-0.0029005199227923207,0.0,0.05452059425525342,-0.0,-0.0028660213784031685,-0.0,0.0018768791183540311
6.01171875,-0.004170133770319801,0.0,0.06526293558912209,-0.0,-0.0034307213846582352,-0.0,0.0026984255245939967
7.01171875,-0.005666625788098098,0.0,0.07592573892203634,-0.0,-0.0039912402624013256,-0.0,0.003666781093152761
8.0078125,-0.007388172154037944,0.0,0.08649600915878619,-0.0,-0.0045468948895719535,-0.0,0.004780765658513099
9.0078125,-0.009332674765207544,0.0,0.09696086397716865,-0.0,-0.005097008072325446,-0.0,0.006039021572499589
10.0078125,-0.011497763794856886,0.0,0.10730754952808026,-0.0,-0.0056409093703504625,-0.0,0.007440015358887452
11.015625,-0.013880800580600467,0.0,0.11752345597903681,-0.0,-0.006177935913955818,-0.0,0.008982039582298358
12.0078125,-0.016478880840238515,0.0,0.12759613288217356,-0.0,-0.006707433211930623,-0.0,0.010663214929105843
13.015625,-0.01928883821129731,0.0,0.1375133043479998,-0.0,-0.00722875594919351,-0.0,0.012481492497814295
14.0078125,-0.022307248109975312,0.0,0.14726288400641285,-0.0,-0.0077412687732584095,-0.0,0.014434656296119824
