alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,0.047231652,0,-0.467238887,0,0.073270162,0,0.048898893
-14,0.041449745,0,-0.438214597,0,0.06879415,0,0.042719658
-12.9921875,0.035985982,0,-0.408759099,0,0.064234296,0,0.036933447
-12,0.030857157,0,-0.37889909,0,0.059596158,0,0.031547312
-10.9921875,0.026079013,0,-0.34866216,0,0.054885388,0,0.026567818
-10,0.021666199,0,-0.318076729,0,0.050107728,0,0.022001033
-8.9921875,0.017632227,0,-0.287171986,0,0.045268999,0,0.017852523
-7.99609375,0.013989441,0,-0.25597783,0,0.0403751,0,0.014127344
-6.99609375,0.010748974,0,-0.224524799,0,0.035431995,0,0.010830035
-5.99609375,0.007920726,0,-0.192844008,0,0.030445707,0,0.007964616
-4.99609375,0.005513328,0,-0.160967078,0,0.025422315,0,0.005534578
-3.994140625,0.003534126,0,-0.128926065,0,0.020367939,0,0.003542884
-2.994140625,0.001989154,0,-0.096753392,0,0.01528874,0,0.001991959
-1.994140625,0.000883122,0,-0.064481773,0,0.010190909,0,0.000883695
-0.993652344,0.0002194,0,-0.032144146,0,0.005080657,0,0.000219443
0.006839752,1.04E-08,0,0.00022132,0,-3.50E-05,0,1.04E-08
1.0078125,0.000225622,0,0.032596725,0,-0.005152186,0,0.000225667
2.0078125,0.000895547,0,0.064933657,0,-0.010262307,0,0.000896137
3.0078125,0.002007745,0,0.097204118,0,-0.015359921,0,0.002010602
4.01171875,0.003558825,0,0.129375175,0,-0.020438815,0,0.003567705
5.01171875,0.005544061,0,0.161414116,0,-0.0254928,0,0.005565549
6.01171875,0.007957398,0,0.193288523,0,-0.030515716,0,0.008001698
7.01171875,0.010791475,0,0.224966345,0,-0.035501441,0,0.010873182
8.0078125,0.014037639,0,0.256415968,0,-0.0404439,0,0.014176504
9.0078125,0.017685976,0,0.287606286,0,-0.045337068,0,0.017907637
10.0078125,0.021725334,0,0.318506768,0,-0.050174983,0,0.022062033
11.015625,0.026143354,0,0.349087525,0,-0.054951748,0,0.026634629
12.0078125,0.030926507,0,0.379319377,0,-0.059661541,0,0.031619854
13.015625,0.036060127,0,0.409173916,0,-0.064298623,0,0.03701163
14.0078125,0.041528457,0,0.438623565,0,-0.068857342,0,0.042803388
